pl_name,pl_orbper,pl_orbpererr1,pl_tranmid,pl_tranmiderr1,pl_orbsmax,pl_orbsmaxerr1,pl_radj,pl_radjerr1,pl_orbincl,pl_orbinclerr1,pl_orbeccen,pl_orbeccenerr1,pl_orblper,pl_orblpererr1,Transits,Date,Archive Used,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity,Observation Depth,Observation Sensitivity,Binned Observation Sensitivity,Total Cadences
Kepler-1394 b,3.9375084020662796,0.00022853982031020503,2454968.276268927,0.006474445621152958,0.0550850794348282,0.0028039532740464232,0.005461483673652718,0.00029075093965155984,87.3731335329528,0.8877434489509327,0.0,0.0,90.0,0.0,6,08-Apr-2021 03:18:10,NASA,0.0019467596577738087,0.0008008681209656694,2.982780391757519e-05,0.015321770100621657,0.03724433915737521,5.441324337240872e-05,0.02795067339469745,0.06794282597589027,6946
Kepler-1517 b,5.54607475075628,1.1560352848808466e-05,2454966.5034078592,0.0067457479690431355,0.07748455431524115,0.003951256713576088,0.04198113318304584,0.0023761781717720263,83.89202565399654,0.20450621633153507,0.0,0.0,90.0,0.0,5,11-Apr-2021 10:08:26,NASA,0.002499263234551013,0.0011409487853133902,0.0017624155433326324,0.7051740364792933,1.5446929485520604,0.0015497880400018314,0.6200979627022952,1.3583326963936804,2171
Kepler-1651 b,9.878646000465492,1.7280821665824034e-05,2454961.5357844043,0.005362389479084761,0.06931624740861082,0.003536080062815743,0.03107737538071185,0.0016266430085672464,91.42068380470243,1.4555636831581462,0.0,0.0,90.0,0.0,6,11-Apr-2021 10:09:10,NASA,0.002786403740852827,0.0010975357875779195,0.0009658032605536748,0.3466128208175869,0.8799742764516529,0.0009239617646481512,0.33159651313321764,0.8418511497353379,1907
L 98-59 b,2.2530884597189105,1.1704278745593284e-06,2458366.1708333744,0.00021983998332210987,0.02275294037065699,0.0011592819104974074,0.021349831443193967,0.00020689438796376967,89.04416158094936,0.4621142586123416,0.002635725462648023,0.048334372435050385,23.993221158286858,7.628645608201113,107,29-Mar-2021 16:16:13,NASA,0.0007788652767238457,8.931930638763652e-05,0.00045581530265279387,0.5852299701561964,5.103211400619287,0.0006645170341511575,0.8531861080600831,7.439791698193697,20344
L 98-59 c,3.690667703348097,9.144681300189724e-07,2458367.2736890092,0.00011238280921930771,0.03211578090432047,0.0016296526771235234,0.03717507636506148,0.0002672039913346179,89.42014484397815,0.4063759787835353,0.004189136150357514,0.027569595296388336,18.654884469286067,8.963692516510246,61,30-Mar-2021 15:55:35,NASA,0.0007690452762106506,0.00010779787059573224,0.001381986302748153,1.7970155275612285,12.820163284402266,0.001723479905883174,2.24106428996658,15.988070045897615,13905
L 98-59 d,7.450753993917817,2.9146758781602317e-06,2458362.739729685,0.00018460399044892755,0.04972529302091809,0.002528723582269877,0.050305117179469006,0.001427874630963993,88.42844402542005,0.0339212478476669,0.21365828160497533,0.04014917626129177,0.897525163423083,11.692821872000355,32,01-Apr-2021 09:52:19,NASA,0.0007783608815178122,0.00017778201443996675,0.0025306048144401075,3.251197323156067,14.234312860115777,0.0017589725407973766,2.2598419095360507,9.893984756210221,5492
L 168-9 b,1.4015293096552641,1.0992672268636627e-06,2458340.0471877004,0.0003725341595737701,0.020550271400144395,0.001047674495074216,0.023360130391850423,0.00011709321329702964,85.05692509096176,0.15571998690658198,0.0,0.0,90.0,0.0,30,01-Apr-2021 04:35:28,NASA,0.0007014626247981668,0.00013658384645594328,0.0005456956919242538,0.7779397969795867,3.995316474706797,0.0005542670789819848,0.7901591038317476,4.058071970910339,6223
LHS 1140 b,24.737196216697946,2.810943667786887e-05,2456915.6992312274,0.002215143338311164,0.0926856995228338,0.004731212059882146,0.06782789633546242,0.0004810828494481608,89.78979199570429,0.1976606343479487,0.0,0.0,90.0,0.0,2,11-Apr-2021 05:15:45,NASA,0.0017700994089734753,0.001282987118113732,0.004600623521294237,2.5990763558088816,3.5858688340208333,0.0055072970219915965,3.111292503727469,4.292558315073743,712
LHS 1140 c,3.777958735262537,2.0027771541594845e-06,2458226.842074665,0.0003419968187186372,0.025719866049770883,0.0013097867309188945,0.05024731520977587,0.00012555632683599287,89.46625777758499,0.2386786768854295,0.0,0.0,90.0,0.0,11,05-Apr-2021 02:42:28,NASA,0.0018346500472338648,0.0005859236927156903,0.002524792685790573,1.3761712701543538,4.309081058129677,0.0028888846826867765,1.5746243743009187,4.93047937573086,2212
LHS 1815 b,3.8143022328795118,4.888482829482064e-06,2458327.417145717,0.0006226193419704666,0.03985760272825382,0.0020370027479493704,0.0195803714817288,0.0003810306913467838,88.13539904282024,0.10520068246186667,0.0,0.0,90.0,0.0,120,29-Mar-2021 14:39:55,NASA,0.0010181728177345967,9.247243370195052e-05,0.0003833909473624984,0.37654800902614105,4.146002565458721,0.00044481513540683965,0.43687586985138704,4.810245795417594,30709
LHS 3844 b,0.4629293025613109,7.002347969221017e-08,2458325.725981653,6.948231697546338e-05,0.005990364392032693,0.00030633478208884937,0.056467068020370416,6.558492466536682e-05,86.3724769426092,0.2460946707565528,0.0,0.0,90.0,0.0,150,30-Mar-2021 04:07:49,NASA,0.002271040167612167,0.00021502054773757482,0.003188529770817139,1.4039953217426555,14.828953811003355,0.0033805798676608267,1.4885601390376375,15.722124714270134,13490
LP 714-47 b,4.0520319316133016,1.7535552029115025e-06,2459196.11442055,0.00022564313859196558,0.04167814985708439,0.0021219151707015604,0.07438314796401839,0.0017810307545050546,87.25815896086462,0.06127654565590857,0.09744301139815847,0.01960316223757364,264.4120846942734,35.43804470755589,12,05-Apr-2021 17:30:02,NASA,0.0013041083239413154,0.0003655362174716677,0.0055328527010370535,4.242632762526581,15.136264032348313,0.0048542721750012285,3.722292148500748,13.279866516585267,3292
LP 791-18 b,0.947979807330764,2.18638366871341e-05,2458645.938863018,0.002170375302802921,0.009472224358494048,0.0004841169705720253,0.05459938233955625,0.0008725832572707006,86.36209266962733,0.14456950130657553,0.0,0.0,90.0,0.0,24,02-Apr-2021 11:31:43,NASA,0.0034495505653507363,0.0007964307956537128,0.0029810925518610467,0.8641973774221053,3.743065396428019,0.0026368769547584488,0.7644117414148827,3.3108676474446126,1900
LP 791-18 c,4.990025893147863,0.00019212546452073968,2458651.29370557,0.003895949643334336,0.028467134892852887,0.001453183752590998,0.1121467693115584,0.001168799213914982,88.68976550416552,0.8737863385419092,0.0,0.0,90.0,0.0,4,11-Apr-2021 05:00:43,NASA,0.003563404124250553,0.002199605670927497,0.012576897867019895,3.529461556557254,5.717796618389633,0.009448821127344352,2.6516277126809484,4.295688655576214,563
LTT 1445 A b,5.358277693260448,1.7528648737464973e-06,2458423.427039875,0.0001599756601717297,0.03771911821554981,0.0019158342799608765,0.04063132055727647,0.00032124941973366613,88.85025914281326,0.8843604254042984,0.5075265902900037,0.03281891799121068,287.11112547324484,9.360937448935085,9,06-Apr-2021 11:19:28,NASA,0.0013909437876992695,0.0005582505848827382,0.0016509042102281573,1.1868949880130544,2.9572816490195586,0.0012943000489940015,0.9305193067038859,2.318492956466624,2339
LTT 3780 b,0.768443811212379,1.959373691731843e-05,2458543.9111977997,0.0004005289107776757,0.012243494590608051,0.0006235835495973013,0.032060925526831624,0.000688388824718687,86.45571185321249,0.260221444183674,0.0,0.0,90.0,0.0,28,01-Apr-2021 20:33:45,NASA,0.0016295661556502338,0.00028925202763930533,0.0010279029456370435,0.6307831947006086,3.5536585655981283,0.0010579729262155668,0.6492359469710585,3.657616283108133,3887
