pl_name,pl_orbper,pl_orbpererr1,pl_tranmid,pl_tranmiderr1,pl_orbsmax,pl_orbsmaxerr1,pl_radj,pl_radjerr1,pl_orbincl,pl_orbinclerr1,pl_orbeccen,pl_orbeccenerr1,pl_orblper,pl_orblpererr1,Transits,Date,Archive,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity
TOI-954 b,3.684967519084872,1.9039387824145013e-05,2458411.907189386,0.0037497719354628494,0.04943989167295799,0.002513868466241147,0.046317199702835904,0.0004256240363694089,85.7194157472777,0.401766921974699,0.06321297539576025,0.04340142695165637,363.88884039773524,44.61639700555264,6,05-Mar-2021 10:34:50,NASA,,,,,
TOI-1130 b,4.065893816127452,8.660184850934516e-05,2458658.74827654,0.005850463817803952,0.04482245670545254,0.0022772659549399536,0.05332641997610402,0.0026170055577121845,84.7469155354173,0.2960256565859234,0.20783687358587524,0.05549145794709895,90.0,0.0,5,08-Mar-2021 00:39:57,NASA,,,,,
TOI-1130 c,8.349684120815756,6.98433733253525e-05,2458657.9122798718,0.0032540479461956825,0.06897500827810679,0.003475742019831451,0.23905216925047315,0.008433914089078624,87.26189674930254,0.0415938150059613,2.2581289563297644e-06,0.01778549823807109,33.15456641237984,13.04524655868218,2,08-Mar-2021 01:12:11,NASA,,,,,
TOI-1235 b,3.4447516441189383,2.291927449063179e-05,2458845.517744201,0.0005586863668266132,0.038414439368222114,0.0019619564429285896,0.025997522286389938,0.0003623401206283781,89.9310230869284,0.4982061824091534,0.07539577856833184,0.023488662783886897,90.0,0.0,22,08-Mar-2021 06:52:31,NASA,,,,,
TOI-1266 b,10.894856589183133,5.9806882665709216e-05,2458821.744170244,0.0005119729836762206,0.07353403764904974,0.003750257809896883,0.052182815801445744,0.0006685556966337518,90.03386536779492,0.28393112078679,0.10197534155296936,0.02316023379672383,90.0,0.0,8,10-Mar-2021 13:44:21,NASA,,,,,
TOI-1266 c,18.80156392173099,0.0007494364742423067,2458821.5689541725,0.0027117653726660288,0.10732866496637387,0.005471427947017432,0.033774120246208066,0.0013940892367238786,89.52502620054047,0.4682691130236274,0.07432089959114642,0.019583892553277124,90.0,0.0,4,10-Mar-2021 12:33:37,NASA,,,,,
TOI-1728 b,3.491426355819182,9.073871288718572e-05,2458843.2754558856,0.0003627373069395572,0.038290150615754914,0.0019533472601000077,0.07012369353583299,0.0005949564871984107,87.99111234811402,0.3443478380837201,0.0014460766314743842,0.024469582909797404,36.241329540867426,20.90556261630029,8,10-Mar-2021 14:37:19,NASA,,,,,
TOI-1899 b,29.0185576606546,0.002625683733406588,2458711.959507489,0.0008249165583892494,0.1568613478562761,0.007948313844694193,0.18822437905383216,0.0015888306522794902,90.01101445339741,0.102081225002437,0.11008516220232324,0.03968068698566975,1.9253709303456537,5.667946318914684,1,08-Mar-2021 08:50:54,NASA,,,,,
TrES-1 b,3.030070729650521,1.3639806742285178e-06,2453186.8055318,0.0024785948909808245,0.04105500615777757,0.0020729575383925613,0.13916680013994345,0.0004083180093633713,90.59250789769906,1.3289029137345034,0.0,0.0,90.0,0.0,6,05-Mar-2021 07:25:40,NASA,,,,,
TrES-2 b,2.4706115939348963,1.3149773654783172e-06,2454955.766068582,0.00216277339566389,0.03840584369619305,0.00193416227881754,0.13046265132104734,0.001316565240916114,83.24857431279567,0.06868786849325126,0.0,0.0,29.455795668819324,10.808606109192716,9,05-Mar-2021 07:59:13,NASA,,,,,
TrES-3 b,1.30618661743101,3.49489662129115e-07,2454185.90989344,0.001290119277812,0.022371523467618,0.00112513739205,0.17084984680214402,0.0015895436589280002,81.5140197557837,0.08549376192045402,0.0,0.0,533.411769048451,87.4641186475471,36,27-Feb-2021 11:23:22,NASA,,,,,
TrES-4 b,3.553928072496707,1.973717109067239e-06,2454230.90729808,0.0026436394649319685,0.048783785640209895,0.002463774016523662,0.09692496979189992,0.00034753631892752254,83.4024610926922,0.09143538884553357,0.0,0.0,46.400128725550154,42.35506841256954,13,05-Mar-2021 07:47:46,NASA,,,,,
